,country,name,full_name,isin,currency,symbol
189,spain,Prosegur Cash,Prosegur Cash SA,ES0105229001,EUR,CASHP
190,spain,Neinor Homes,Neinor Homes SLU,ES0105251005,EUR,HOME
191,spain,Gestamp Automocion,Gestamp Automocion SA,ES0105223004,EUR,GEST
192,spain,Optimum III Value Added,Optimum III Value Added Residential SOCIMI SA,ES0105219002,EUR,YOVA
193,spain,Asturiana de Laminados,Asturiana de Laminados SA,ES0105227005,EUR,ELZZ
194,spain,Unicaja Banco,Unicaja Banco SA,ES0180907000,EUR,UNI
195,spain,GGC,General De Galerias Comerciales SOCIMI SA,ES0105195004,EUR,YGGC
196,spain,Numulae Gestion de Servicios,Numulae Gestion de Servicios SL,ES0105265005,EUR,YNUM
197,spain,Borges Agricultural,Borges Agricultural & Industrial Nuts SA,ES0105271011,EUR,BAINS
198,spain,AM Locales Property,AM Locales Property Socimi,ES0105272001,EUR,YAML
199,spain,Grupo Ortiz,Grupo Ortiz Properties Socimi,ES0105273009,EUR,YGOP
200,spain,Domo Activos,Domo Activos Socimi SA,ES0105283008,EUR,YDOM
201,spain,Aedas Homes,Aedas Homes SL,ES0105287009,EUR,AEDAS
202,spain,Netex Knowledge,Netex Knowledge Factory SL,ES0105270005,EUR,NTX
203,spain,Greenalia,Greenalia,ES0105293007,EUR,GRN
204,spain,Prevision Sanitaria,Prevision Sanitaria Nacional Gestion SOCIMI SA,ES0170756037,EUR,YPSNA
205,spain,Student Properties,Student Properties Spain SOCIMI SA,ES0105294005,EUR,YSPS
206,spain,Heref Habaneras,Heref Habaneras SOCIMI SA,ES0105103008,EUR,YHAB
207,spain,Robot,Robot,ES0105225009,EUR,RBT
208,spain,Tempore Properties,Tempore Properties Socimi,ES0105323002,EUR,YTEM
209,spain,Serrano 61 Desarrollo,Serrano 61 Desarrollo Socimi,ES0105317004,EUR,YSRR
210,spain,Ap67 Socimi,Ap67 Socimi,ES0105325007,EUR,YAP67
211,spain,Tier1,Tier1 Technology S.A.,ES0105344008,EUR,TR1
212,spain,Torbel Investmentד,Torbel Investments 2015 Socimi SA,ES0105358008,EUR,YTOR
213,spain,Quid Pro Quo Alquiler,Quid Pro Quo Alquiler Seguro Socimi,ES0105357000,EUR,YQPQ
