Date,Open,High,Low,Close,Adj Close,Volume
2018/10/17,280.44 ,281.15 ,277.56 ,280.45 ,266.87 ,110626000.00 
2018/10/18,279.40 ,280.07 ,274.97 ,276.40 ,263.02 ,134557500.00 
2018/10/19,277.13 ,279.30 ,275.47 ,276.25 ,262.88 ,139901600.00 
2018/10/22,277.00 ,277.36 ,274.41 ,275.01 ,261.70 ,82415800.00 
2018/10/23,270.95 ,274.87 ,268.61 ,273.61 ,260.36 ,146352700.00 
2018/10/24,273.33 ,273.76 ,264.70 ,265.32 ,252.48 ,177806700.00 
2018/10/25,267.38 ,271.81 ,266.23 ,270.08 ,257.01 ,138061500.00 
2018/10/26,265.92 ,271.00 ,262.29 ,265.33 ,252.49 ,201574600.00 
2018/10/29,268.80 ,270.25 ,259.85 ,263.86 ,251.09 ,160749100.00 
2018/10/30,263.67 ,268.12 ,263.12 ,267.77 ,254.81 ,157116000.00 
2018/10/31,270.65 ,273.23 ,270.12 ,270.63 ,257.53 ,128296300.00 
2018/11/1,271.60 ,273.73 ,270.38 ,273.51 ,260.27 ,99495000.00 
2018/11/2,274.75 ,275.23 ,269.59 ,271.89 ,258.73 ,122634100.00 
2018/11/5,272.44 ,274.01 ,271.35 ,273.39 ,260.16 ,65622500.00 
2018/11/6,273.32 ,275.30 ,273.25 ,275.12 ,261.80 ,60085900.00 
2018/11/7,277.56 ,281.10 ,277.08 ,281.01 ,267.41 ,102752100.00 
2018/11/8,280.11 ,281.22 ,279.22 ,280.50 ,266.92 ,65584900.00 
2018/11/9,279.03 ,279.24 ,276.18 ,277.76 ,264.31 ,98812600.00 
2018/11/12,277.19 ,277.46 ,271.99 ,272.57 ,259.38 ,99673600.00 
2018/11/13,273.09 ,275.33 ,271.25 ,272.06 ,258.89 ,98176600.00 
2018/11/14,274.16 ,274.61 ,268.45 ,270.20 ,257.12 ,125335900.00 
2018/11/15,268.78 ,273.54 ,267.01 ,273.02 ,259.80 ,135101400.00 
2018/11/16,271.79 ,274.75 ,271.21 ,273.73 ,260.48 ,126668000.00 
2018/11/19,273.05 ,273.38 ,268.07 ,269.10 ,256.07 ,103061700.00 
2018/11/20,265.36 ,267.00 ,263.15 ,264.12 ,251.33 ,136021300.00 
2018/11/21,265.86 ,267.15 ,265.01 ,265.02 ,252.19 ,75563700.00 
2018/11/23,263.18 ,264.82 ,263.07 ,263.25 ,250.51 ,42807900.00 
2018/11/26,265.78 ,267.75 ,265.34 ,267.50 ,254.55 ,79981400.00 
2018/11/27,266.34 ,268.40 ,265.66 ,268.40 ,255.41 ,75502400.00 
2018/11/28,269.60 ,274.58 ,268.33 ,274.58 ,261.29 ,127629600.00 
2018/11/29,273.71 ,275.55 ,272.43 ,273.98 ,260.72 ,82346400.00 
2018/11/30,273.81 ,276.28 ,273.45 ,275.65 ,262.31 ,98204200.00 
2018/12/3,280.28 ,280.40 ,277.51 ,279.30 ,265.78 ,103176300.00 
2018/12/4,278.37 ,278.85 ,269.90 ,270.25 ,257.17 ,177986000.00 
2018/12/6,265.92 ,269.97 ,262.44 ,269.84 ,256.78 ,204185400.00 
2018/12/7,269.46 ,271.22 ,262.63 ,263.57 ,250.81 ,161018900.00 
2018/12/10,263.37 ,265.16 ,258.62 ,264.07 ,251.29 ,151445900.00 
2018/12/11,267.66 ,267.87 ,262.48 ,264.13 ,251.34 ,121504400.00 
2018/12/12,267.47 ,269.00 ,265.37 ,265.46 ,252.61 ,97976700.00 
2018/12/13,266.52 ,267.49 ,264.12 ,265.37 ,252.52 ,96662700.00 
2018/12/14,262.96 ,264.03 ,259.85 ,260.47 ,247.86 ,116961100.00 
2018/12/17,259.40 ,260.65 ,253.53 ,255.36 ,243.00 ,165492300.00 
2018/12/18,257.20 ,257.95 ,253.28 ,255.08 ,242.73 ,134515100.00 
2018/12/19,255.17 ,259.40 ,249.35 ,251.26 ,239.10 ,214992800.00 
2018/12/20,249.86 ,251.62 ,244.65 ,247.17 ,235.20 ,252053400.00 
2018/12/21,246.74 ,249.71 ,239.98 ,240.70 ,230.39 ,255345600.00 
2018/12/24,239.04 ,240.84 ,234.27 ,234.34 ,224.30 ,147311600.00 
2018/12/26,235.97 ,246.18 ,233.76 ,246.18 ,235.63 ,218485400.00 
2018/12/27,242.57 ,248.29 ,238.96 ,248.07 ,237.44 ,186267300.00 
2018/12/28,249.58 ,251.40 ,246.45 ,247.75 ,237.13 ,153100200.00 
2018/12/31,249.56 ,250.19 ,247.47 ,249.92 ,239.21 ,144299400.00 
2019/1/2,245.98 ,251.21 ,245.95 ,250.18 ,239.46 ,126925200.00 
2019/1/3,248.23 ,248.57 ,243.67 ,244.21 ,233.75 ,144140700.00 
2019/1/4,247.59 ,253.11 ,247.17 ,252.39 ,241.57 ,142628800.00 
2019/1/7,252.69 ,255.95 ,251.69 ,254.38 ,243.48 ,103139100.00 
2019/1/8,256.82 ,257.31 ,254.00 ,256.77 ,245.77 ,102512600.00 
2019/1/9,257.56 ,258.91 ,256.19 ,257.97 ,246.92 ,95006600.00 
2019/1/10,256.26 ,259.16 ,255.50 ,258.88 ,247.79 ,96823900.00 
2019/1/11,257.68 ,259.01 ,257.03 ,258.98 ,247.88 ,73858100.00 
2019/1/14,256.86 ,258.30 ,256.41 ,257.40 ,246.37 ,70908200.00 
2019/1/15,257.82 ,260.70 ,257.81 ,260.35 ,249.19 ,85208300.00 
2019/1/16,260.83 ,261.97 ,260.60 ,260.98 ,249.80 ,77636700.00 
2019/1/17,260.01 ,263.92 ,259.96 ,262.96 ,251.69 ,96118400.00 
2019/1/18,264.98 ,266.98 ,263.00 ,266.46 ,255.04 ,127900300.00 
2019/1/22,264.82 ,265.06 ,261.06 ,262.86 ,251.60 ,115531200.00 
2019/1/23,264.01 ,264.79 ,260.66 ,263.41 ,252.12 ,86030300.00 
2019/1/24,263.21 ,264.20 ,262.08 ,263.55 ,252.26 ,59204100.00 
2019/1/25,265.61 ,266.70 ,263.66 ,265.78 ,254.39 ,96883400.00 
2019/1/28,263.39 ,263.83 ,261.79 ,263.76 ,252.46 ,85613700.00 
