Index Name,Date,Open,High,Low,Close
NIFTY 50,13-May-03,936.9,945.8,936.7,944.2
NIFTY 50,14-May-03,944.2,953.45,943.15,952.15
NIFTY 50,15-May-03,952.15,961.6,951.15,959.85
NIFTY 50,16-May-03,959.85,974.4,959.85,973.1
NIFTY 50,19-May-03,973.7,979.85,964.6,966.55
NIFTY 50,20-May-03,964.65,974.05,959.8,971.55
NIFTY 50,21-May-03,972.05,980.75,965.55,968
NIFTY 50,22-May-03,967.95,972.4,960.05,963.25
NIFTY 50,23-May-03,963.5,972.9,962.4,967.9
NIFTY 50,26-May-03,967.85,983.9,967.1,982.45
NIFTY 50,27-May-03,982.35,990,974.25,976.85
NIFTY 50,28-May-03,977.65,992.25,977.55,990.8
NIFTY 50,29-May-03,990.8,1004.85,989.5,1002.6
NIFTY 50,30-May-03,1000.05,1013.85,994.65,1006.8
NIFTY 50,02-Jun-03,1006.85,1020.5,1004.7,1015.15
NIFTY 50,03-Jun-03,1015.9,1016.9,1007.65,1010.65
NIFTY 50,04-Jun-03,1010.7,1022.75,1010.1,1021.05
NIFTY 50,05-Jun-03,1021.1,1038.3,1021.1,1035.05
NIFTY 50,06-Jun-03,1036.2,1048.85,1035.95,1046.4
NIFTY 50,09-Jun-03,1046,1057.05,1039.85,1052.1
NIFTY 50,10-Jun-03,1052,1056.55,1033.95,1037.8
NIFTY 50,11-Jun-03,1038,1048.25,1035,1044.1
NIFTY 50,12-Jun-03,1044.2,1052.6,1043.1,1051.3
NIFTY 50,13-Jun-03,1050.95,1059.45,1050.95,1056.2
NIFTY 50,16-Jun-03,1056.5,1059.8,1045.55,1051.8
NIFTY 50,17-Jun-03,1052.3,1083.2,1052.3,1081.95
NIFTY 50,18-Jun-03,1082.8,1093.2,1080.9,1086.75
NIFTY 50,19-Jun-03,1085.95,1097,1078.9,1092.55
NIFTY 50,20-Jun-03,1092.65,1101.6,1081.35,1100.25
NIFTY 50,23-Jun-03,1100.6,1106.15,1087.65,1089.2
NIFTY 50,24-Jun-03,1089.2,1092.65,1079.1,1085.35
NIFTY 50,25-Jun-03,1085.65,1109.75,1084.35,1106.65
NIFTY 50,26-Jun-03,1106.8,1118.9,1106.8,1116.35
NIFTY 50,27-Jun-03,1117.45,1126.8,1109.35,1125.55
NIFTY 50,30-Jun-03,1125.6,1141.3,1125.5,1134.15
NIFTY 50,01-Jul-03,1133.95,1139,1125.75,1130.7
NIFTY 50,02-Jul-03,1131.55,1145.4,1130.2,1133.8
NIFTY 50,03-Jul-03,1133.8,1150.75,1126.35,1144.65
NIFTY 50,04-Jul-03,1145.6,1148.85,1134,1138.45
NIFTY 50,07-Jul-03,1138.9,1145.75,1134.6,1140.55
NIFTY 50,08-Jul-03,1141.45,1153.15,1141.3,1145.9
NIFTY 50,09-Jul-03,1146.35,1155.3,1137.15,1141.05
NIFTY 50,10-Jul-03,1146,1163.6,1146,1162.35
NIFTY 50,11-Jul-03,1162.3,1170.75,1157.45,1161.65
NIFTY 50,14-Jul-03,1161.2,1173.95,1161.2,1171.5
NIFTY 50,15-Jul-03,1171.5,1175.55,1148.8,1159.85
NIFTY 50,16-Jul-03,1158.7,1170.45,1148.6,1168.75
NIFTY 50,17-Jul-03,1168.85,1175.95,1145.65,1152
NIFTY 50,18-Jul-03,1151.85,1162.6,1130.45,1140
NIFTY 50,21-Jul-03,1140,1146.4,1112.55,1115.8
NIFTY 50,22-Jul-03,1115.35,1118.25,1089.3,1109.2
NIFTY 50,23-Jul-03,1109.6,1124.7,1109.6,1119.05
NIFTY 50,24-Jul-03,1119.95,1144.35,1118.55,1139.45
NIFTY 50,25-Jul-03,1135.5,1164.7,1135.05,1162.75
NIFTY 50,28-Jul-03,1163.25,1180.6,1163.25,1169.2
NIFTY 50,29-Jul-03,1169.25,1177.25,1154.8,1174.75
NIFTY 50,30-Jul-03,1175.3,1187.7,1168.45,1183
NIFTY 50,31-Jul-03,1183.3,1198.5,1181.9,1185.85
NIFTY 50,01-Aug-03,1185.8,1198.8,1180.3,1195.75
NIFTY 50,04-Aug-03,1196.05,1206.1,1185.95,1203.6
NIFTY 50,05-Aug-03,1203.9,1218.5,1181,1184.45
NIFTY 50,06-Aug-03,1184.1,1191.05,1164.75,1171.05
NIFTY 50,07-Aug-03,1170.75,1199.7,1170.75,1196.95
NIFTY 50,08-Aug-03,1199.7,1224.5,1199.7,1222.65
NIFTY 50,11-Aug-03,1222.6,1240.35,1215.75,1232.85
NIFTY 50,12-Aug-03,1233.95,1249.35,1229.8,1234.75
NIFTY 50,13-Aug-03,1235.35,1249.35,1229.3,1246.9
NIFTY 50,14-Aug-03,1247,1260.35,1243.4,1247.75
NIFTY 50,18-Aug-03,1247.9,1285.7,1247.9,1281.4
NIFTY 50,19-Aug-03,1286.05,1307.6,1268.1,1277.7
NIFTY 50,20-Aug-03,1280.8,1292.95,1280.8,1287.4
NIFTY 50,21-Aug-03,1288.2,1304.15,1287,1300.95
NIFTY 50,22-Aug-03,1301.5,1319.45,1298.8,1311.15
NIFTY 50,25-Aug-03,1311.95,1332.55,1245.85,1271.1
NIFTY 50,26-Aug-03,1270.2,1322.95,1269.5,1318.2
NIFTY 50,27-Aug-03,1318.75,1346.3,1318.75,1340.3
NIFTY 50,28-Aug-03,1340.2,1349,1328.35,1341.05
NIFTY 50,29-Aug-03,1341.2,1365.8,1340.8,1356.55
NIFTY 50,01-Sep-03,1356.7,1379.4,1356.65,1375.95
NIFTY 50,02-Sep-03,1375.95,1388.95,1366.9,1385.45
NIFTY 50,03-Sep-03,1387.2,1394.95,1353.6,1359.35
NIFTY 50,04-Sep-03,1358.9,1382.6,1355.8,1372.7
NIFTY 50,05-Sep-03,1373,1400.9,1372.75,1398.4
NIFTY 50,08-Sep-03,1398.4,1420.25,1398.35,1417.35
NIFTY 50,09-Sep-03,1417.8,1430.7,1397.65,1407.05
NIFTY 50,10-Sep-03,1407,1414.1,1389.65,1409.55
NIFTY 50,11-Sep-03,1409.65,1422.4,1399.6,1403.15
NIFTY 50,12-Sep-03,1405.55,1415.65,1367.15,1372.1
NIFTY 50,15-Sep-03,1371.75,1371.85,1322.65,1329.25
NIFTY 50,16-Sep-03,1330.15,1362.1,1299.5,1357.95
NIFTY 50,17-Sep-03,1357.95,1377.45,1332.2,1341.6
NIFTY 50,18-Sep-03,1341.45,1342.6,1299.25,1302.35
NIFTY 50,19-Sep-03,1303.2,1331.05,1285.25,1322.15
NIFTY 50,22-Sep-03,1319.25,1333.55,1300.25,1302.9
NIFTY 50,23-Sep-03,1302.85,1333.7,1290.55,1328.2
NIFTY 50,24-Sep-03,1324.85,1373.9,1322.65,1372.05
NIFTY 50,25-Sep-03,1371.45,1377.25,1352.8,1357.2
NIFTY 50,26-Sep-03,1357.55,1389.3,1357.35,1386.95
