,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
223785,2022/9/2,002709.SZA,35.3817,1460257664,20.945024,90732520406,1013480782,660.28064,661.825
223786,2022/9/5,002709.SZA,35.3817,1460257664,20.962797,90809510241,919606215,658.17474,662.3866
223787,2022/9/6,002709.SZA,35.3817,1460257664,21.46394,92980424448,1605294335,669.12555,677.5493
223788,2022/9/7,002709.SZA,35.3817,1460257664,21.526205,93250156305,1614330171,673.47784,679.51483
223789,2022/9/8,002709.SZA,35.3817,1460257664,21.02363,91073034887,981324212,683.4459,663.65015
223790,2022/9/9,002709.SZA,35.3817,1460257664,21.584024,93500621601,1451344097,662.2462,681.33997
223791,2022/9/13,002709.SZA,35.3817,1460257664,21.415016,92768492274,904865408,683.16516,676.00494
223792,2022/9/15,002709.SZA,35.3817,1460257664,20.018482,86718792051,1255373676,659.85944,631.9207
223793,2022/9/16,002709.SZA,35.3817,1460257664,19.836132,85928863041,968159578,625.0413,626.1645
223794,2022/9/19,002709.SZA,35.3817,1460257664,20.454342,88606915051,1292784514,628.69165,645.6795
223795,2022/9/20,002709.SZA,35.3817,1460257664,20.91689,90610637418,1186713621,648.9086,660.28064
223796,2022/9/21,002709.SZA,35.3817,1460257664,21.348303,92479493856,1414294771,657.8939,673.89905
223797,2022/9/22,002709.SZA,35.3817,1460257664,20.956917,90784036469,1580486740,676.1453,661.5442
223798,2022/9/23,002709.SZA,35.3817,1460257664,20.738987,89839974969,1115154347,661.5442,654.6648
223799,2022/9/26,002709.SZA,35.3817,1460257664,20.663378,89512443428,909823351,648.2066,652.2781
223800,2022/9/27,002709.SZA,35.3817,1460257664,20.725643,89782175285,881247306,652.1377,654.24365
223801,2022/9/28,002709.SZA,35.3817,1460257664,19.569277,84772869368,910148311,649.049,617.7408
223802,2022/9/29,002709.SZA,35.3817,1460257664,20.494371,88780314102,1471257456,631.63995,646.94305
223803,2022/9/30,002709.SZA,35.3817,1460257664,19.595963,84888468735,1007688461,647.50464,618.5831
223804,2022/10/10,002709.SZA,35.3817,1460257664,18.501862,80148894675,915958940,620.5487,584.04584
223805,2022/10/11,002709.SZA,35.3817,1460257664,20.352049,88163784143,2277345720,596.68146,642.4504
223806,2022/10/12,002709.SZA,35.3817,1460257664,21.321617,92363894489,2460049998,640.3445,673.05664
223807,2022/10/13,002709.SZA,35.3817,1460257664,21.312723,92325361366,1618774858,662.2462,672.7759
223808,2022/10/14,002709.SZA,35.3817,1460257664,21.566233,93423555356,1581581494,681.33997,680.7784
223809,2022/10/17,002709.SZA,35.3817,1460257664,21.46394,92980424448,1180048897,673.7586,677.5493
223810,2022/10/18,002709.SZA,35.3817,1460257664,21.437254,92864825080,1077901908,683.0247,676.7069
223811,2022/10/19,002709.SZA,35.3817,1460257664,21.437254,92864825080,1764655790,673.89905,676.7069
223812,2022/10/20,002709.SZA,35.3817,1460257664,20.948023,90745503346,1194168029,669.4064,661.2634
223813,2022/10/21,002709.SZA,35.3817,1460257664,20.538847,88972979714,788416236,658.8767,648.34705
223814,2022/10/24,002709.SZA,35.3817,1460257664,20.107433,87104123276,1077258127,657.8939,634.72864
223815,2022/10/25,002709.SZA,35.3817,1460257664,20.014034,86699525490,897987379,630.938,631.78033
223816,2022/10/26,002709.SZA,35.3817,1460257664,20.151909,87296788888,1042776830,645.8199,636.1326
223817,2022/10/27,002709.SZA,35.3817,1460257664,19.555935,84715069684,1269817588,637.3962,617.3196
223818,2022/10/28,002709.SZA,47.8025,140897808,16.135122,80919557124,1200906298,613.3885,589.6616
223819,2022/10/31,002709.SZA,47.8025,140897808,16.327208,81882885185,1193797995,584.04584,596.68146
223820,2022/11/1,002709.SZA,47.8025,140897808,17.003345,85273799960,1528359221,592.46954,621.39105
