"month","year","month_number","start_date","end_date","bank_name","no_atms_on_site","no_atms_off_site","no_pos_on_line","no_pos_off_line","no_credit_cards","no_credit_card_atm_txn","no_credit_card_pos_txn","no_credit_card_atm_txn_value_in_mn","no_credit_card_pos_txn_value_in_mn","no_debit_cards","no_debit_card_atm_txn","no_debit_card_pos_txn","no_debit_card_atm_txn_value_in_mn","no_debit_card_pos_txn_value_in_mn"
"September","2011",9,2011-09-01,2011-09-30,"Central Bank of India",566,651,0,0,43878,59,37469,0.2,13.8,3311268,7566960,73016,18987.9,191.807
"September","2011",9,2011-09-01,2011-09-30,"Corporation Bank",709,547,16077,0,56367,1491,71820,6.5,165.4,4498613,3827684,263553,12100.2,425.8
"September","2011",9,2011-09-01,2011-09-30,"Dena Bank",415,105,0,0,0,0,0,0,0,1396546,1686144,69420,5226.57,100.114
"September","2011",9,2011-09-01,2011-09-30,"Indian Bank",865,344,0,0,40858,2383,48624,9.3,114.5,6624002,8619460,387353,19646.5,461
"September","2011",9,2011-09-01,2011-09-30,"Indian Overseas Bank",802,443,83,0,36200,3059,32684,5.64,72.57,3041483,3578557,258292,9276.1,475.3
"September","2011",9,2011-09-01,2011-09-30,"Oriental Bank of Commerce",910,332,977,0,0,0,0,0,0,2951174,4627935,77555,10706.7,119.9
"September","2011",9,2011-09-01,2011-09-30,"Punjab and Sind Bank",94,15,0,0,0,0,0,0,0,57164,44623,0,166.8,0
"September","2011",9,2011-09-01,2011-09-30,"Punjab National Bank",3082,2537,296,0,94901,2325,102509,10.8,221.2,15146580,37298382,969845,49700,1040
"September","2011",9,2011-09-01,2011-09-30,"Syndicate  Bank",1034,201,366,0,64395,1966,44431,7.71683,104.788,5744432,4359258,244394,14888.9,395.169
"September","2011",9,2011-09-01,2011-09-30,"UCO Bank",508,213,0,0,0,0,0,0,0,1498273,1681111,101510,6270.4,184
"September","2011",9,2011-09-01,2011-09-30,"Union  Bank of India",1930,827,2773,0,39796,778,39419,3.3,105.3,7214644,12197975,311189,23825.6,491.2
"September","2011",9,2011-09-01,2011-09-30,"United  Bank of India",259,325,0,0,0,0,0,0,0,1216069,2550846,96039,6273.5,224.5
"September","2011",9,2011-09-01,2011-09-30,"Vijaya  Bank",459,103,1215,0,40907,3795,51451,20.1201,160.564,1674255,608233,103787,1995,182.247
"September","2011",9,2011-09-01,2011-09-30,"State Bank of India",11894,9731,0,0,2107105,22008,2980112,96.0091,5909.21,81796000,147711000,5029000,380441,7321
"September","2011",9,2011-09-01,2011-09-30,"State Bank of Bikaner & Jaipur",610,430,0,0,0,0,0,0,0,3923212,7069832,64063,19189.3,91.9
"September","2011",9,2011-09-01,2011-09-30,"State Bank of Hyderabad",997,273,0,0,0,0,0,0,0,5262545,10255310,145874,24841.5,328.7
"September","2011",9,2011-09-01,2011-09-30,"State Bank of Mysore",558,217,0,0,0,0,0,0,0,2147026,2792578,81800,9421.2,179.3
"September","2011",9,2011-09-01,2011-09-30,"State Bank of Patiala",621,196,0,0,0,0,0,0,0,2775422,3794880,49205,9776.1,97.2
"September","2011",9,2011-09-01,2011-09-30,"State Bank of Travancore",622,261,0,0,0,0,0,0,0,4842077,5748280,94849,14899.5,234.9
"September","2011",9,2011-09-01,2011-09-30,"IDBI Ltd.",765,731,21581,0,0,0,0,0,0,4203429,5479548,490715,19556.1,760.2
"September","2011",9,2011-09-01,2011-09-30,"Catholic Syrian Bank Ltd.",108,56,0,0,0,0,0,0,0,301335,154203,7757,354.4,13.4
"September","2011",9,2011-09-01,2011-09-30,"City Union Bank Ltd",211,103,334,0,0,0,0,0,0,574307,806626,58135,2289.7,88.18
"September","2011",9,2011-09-01,2011-09-30,"Dhanalaxmi Bank Ltd.",168,257,0,0,1767,3,3878,0.01,10.9,1027059,408454,31323,1379.2,52.9
"September","2011",9,2011-09-01,2011-09-30,"Federal Bank Limited",487,345,2491,0,0,0,0,0,0,2303167,2041455,140681,7850.6,263.2
"September","2011",9,2011-09-01,2011-09-30,"ING Vysya Bank",226,196,0,0,0,0,0,0,0,1097493,2985853,120174,6868.44,202.117
"September","2011",9,2011-09-01,2011-09-30,"Jammu & Kashmir Bank",302,136,2904,0,37659,2090,30125,7.5007,106.455,1006196,3123611,20442,8200.36,59.1027
"September","2011",9,2011-09-01,2011-09-30,"Karnataka Bank Ltd.",207,88,691,0,0,0,0,0,0,1284512,1145761,100037,3400.3,146.2
"September","2011",9,2011-09-01,2011-09-30,"Karur Vysya Bank Ltd",407,198,0,0,0,0,0,0,0,2324048,3197671,128924,9249.9,187.9
"September","2011",9,2011-09-01,2011-09-30,"Lakshmi Vilas Bank Ltd.",149,178,194,0,0,0,0,0,0,350648,587439,17229,1818.2,36.2
"September","2011",9,2011-09-01,2011-09-30,"Ratnakar Bank Ltd.",36,6,0,0,0,0,0,0,0,23528,42390,0,107.1,0
"September","2011",9,2011-09-01,2011-09-30,"South Indian Bank Ltd",448,120,0,0,0,0,0,0,0,1910638,2375693,32470,2775.5,75.6
